ENSMUSG00000041923|Nol4
ENSMUSG00000027210|Meis2
ENSMUSG00000016386|Mpped2
ENSMUSG00000046982|Tshz1
ENSMUSG00000098051|Gm27032
ENSMUSG00000035184|Fam124a
ENSMUSG00000029385|Ccng2
ENSMUSG00000043668|Tox3
ENSMUSG00000021933|Gucy1b2
ENSMUSG00000026039|Sgo2a
