ENSMUSG00000054484|Tmem62
ENSMUSG00000022808|Snx4
ENSMUSG00000036186|Fam69b
ENSMUSG00000047603|Zfp235
ENSMUSG00000020792|Exoc7
ENSMUSG00000039536|Stau1
ENSMUSG00000028232|Tmem68
ENSMUSG00000032840|2410131K14Rik
ENSMUSG00000015214|Mtmr1
ENSMUSG00000021559|Dapk1
