ENSMUSG00000016503|Gtf3a
ENSMUSG00000007338|Mrpl49
ENSMUSG00000006412|Pfdn2
ENSMUSG00000067148|Polr1c
ENSMUSG00000067194|Eif1ax
ENSMUSG00000039509|Nup133
ENSMUSG00000030871|Ears2
ENSMUSG00000030801|Kat8
ENSMUSG00000030695|Aldoa
ENSMUSG00000021270|Hsp90aa1
