ENSMUSG00000002661|Alkbh7
ENSMUSG00000063801|Ap3s2
ENSMUSG00000003808|Farsa
ENSMUSG00000025393|Atp5b
ENSMUSG00000027752|Exosc8
ENSMUSG00000006333|Rps9
ENSMUSG00000024735|Prpf19
ENSMUSG00000058704|Memo1
ENSMUSG00000039768|Dnajc11
ENSMUSG00000029430|Ran
