ENSMUSG00000029676|Pot1a
ENSMUSG00000045751|Mms22l
ENSMUSG00000038268|Ovca2
ENSMUSG00000053600|Zfp472
ENSMUSG00000020482|Ccdc117
ENSMUSG00000030978|Rrm1
ENSMUSG00000028312|Smc2
ENSMUSG00000036875|Dna2
ENSMUSG00000026049|Tex30
ENSMUSG00000025395|Prim1
