ENSMUSG00000053253|Ndfip2
ENSMUSG00000028648|Ndufs5
ENSMUSG00000059669|Taf1b
ENSMUSG00000031529|Tnks
ENSMUSG00000098176|Ccdc166
ENSMUSG00000041817|Fam169a
ENSMUSG00000033373|Fntb
ENSMUSG00000033352|Map2k4
ENSMUSG00000013465|Nelfb
ENSMUSG00000031360|Ctps2
