ENSMUSG00000031065|Cdk16
ENSMUSG00000059923|Grb2
ENSMUSG00000020402|Vdac1
ENSMUSG00000019428|Fkbp8
ENSMUSG00000019132|BC005537
ENSMUSG00000014837|4931428F04Rik
ENSMUSG00000056770|Setd3
ENSMUSG00000028410|Dnaja1
ENSMUSG00000115987|Vps28
ENSMUSG00000022884|Eif4a2
