ENSMUSG00000020124|Usp15
ENSMUSG00000024772|Ehd1
ENSMUSG00000030979|Uros
ENSMUSG00000018677|Slc25a39
ENSMUSG00000021361|Tmem14c
ENSMUSG00000033701|Acbd6
ENSMUSG00000017999|Ddx27
ENSMUSG00000043424|Eif3j2
ENSMUSG00000037531|Mrpl47
ENSMUSG00000011179|Odc1
