ENSMUSG00000022329|Stk3
ENSMUSG00000022772|Senp5
ENSMUSG00000020190|Mknk2
ENSMUSG00000020076|Ddx50
ENSMUSG00000043535|Setx
ENSMUSG00000025860|Xiap
ENSMUSG00000044991|1110034G24Rik
ENSMUSG00000031820|Babam1
ENSMUSG00000025277|Abhd6
ENSMUSG00000035954|Dock4
