ENSMUSG00000032526|Ss18l2
ENSMUSG00000031425|Plp1
ENSMUSG00000028525|Pde4b
ENSMUSG00000028552|Eps15
ENSMUSG00000031955|Bcar1
ENSMUSG00000054793|Cadm4
ENSMUSG00000048899|Rimkla
ENSMUSG00000038633|Degs1
ENSMUSG00000001700|Gramd3
ENSMUSG00000028677|Rnf220
