ENSMUSG00000032329|Hmg20a
ENSMUSG00000023965|Fbxl17
ENSMUSG00000095139|Pou3f2
ENSMUSG00000030254|Rad18
ENSMUSG00000035151|Elmod2
ENSMUSG00000014773|Dll1
ENSMUSG00000021453|Gadd45g
ENSMUSG00000020052|Ascl1
ENSMUSG00000085501|Gm11772
ENSMUSG00000021676|Iqgap2
