ENSMUSG00000029861|Fam131b
ENSMUSG00000016346|Kcnq2
ENSMUSG00000021301|Hecw1
ENSMUSG00000041775|Mapk1ip1
ENSMUSG00000004267|Eno2
ENSMUSG00000021066|Atl1
ENSMUSG00000037217|Syn1
ENSMUSG00000022044|Stmn4
ENSMUSG00000053522|Lgals7
ENSMUSG00000045007|Tubg2
