ENSMUSG00000029199|Lias
ENSMUSG00000024826|Dpf2
ENSMUSG00000057229|Dmac2
ENSMUSG00000027466|Rbck1
ENSMUSG00000029179|Zcchc4
ENSMUSG00000024069|Slc30a6
ENSMUSG00000041837|Pdcd7
ENSMUSG00000051695|Pcbp1
ENSMUSG00000052406|Rexo4
ENSMUSG00000025995|Wdr75
