ENSMUSG00000033319|Fem1c
ENSMUSG00000040462|Os9
ENSMUSG00000020659|Cbll1
ENSMUSG00000022682|Rrn3
ENSMUSG00000035824|Tk2
ENSMUSG00000031696|Vps35
ENSMUSG00000021385|Ippk
ENSMUSG00000047554|Tmem41b
ENSMUSG00000044148|1810030O07Rik
ENSMUSG00000035914|Cd276
