ENSMUSG00000024911|Fibp
ENSMUSG00000037533|Rapgef6
ENSMUSG00000073563|Csnk1g3
ENSMUSG00000020955|Ap4s1
ENSMUSG00000038000|Acd
ENSMUSG00000026353|Ubxn4
ENSMUSG00000031150|Ccdc120
ENSMUSG00000040560|Wdr7
ENSMUSG00000045140|Pigw
ENSMUSG00000037151|Lrrc20
