ENSMUSG00000022130|Tgds
ENSMUSG00000045867|Cradd
ENSMUSG00000022961|Son
ENSMUSG00000043991|Pura
ENSMUSG00000039473|Ubn1
ENSMUSG00000024854|Pold4
ENSMUSG00000032551|1110059G10Rik
ENSMUSG00000031176|Dynlt3
ENSMUSG00000052428|Tmco1
ENSMUSG00000017291|Taok1
