ENSMUSG00000018770|Atp5g3
ENSMUSG00000022956|Atp5o
ENSMUSG00000038084|Opa1
ENSMUSG00000067924|Rtl8b
ENSMUSG00000026820|Ptges2
ENSMUSG00000074754|Smim26
ENSMUSG00000027387|Zc3h8
ENSMUSG00000063019|Manbal
ENSMUSG00000026000|Lancl1
ENSMUSG00000000088|Cox5a
