ENSMUSG00000050705|2310061I04Rik
ENSMUSG00000042506|Usp22
ENSMUSG00000071014|Ndufb6
ENSMUSG00000024038|Ndufv3
ENSMUSG00000029559|2210016L21Rik
ENSMUSG00000033439|Trmt13
ENSMUSG00000000339|Rtca
ENSMUSG00000039347|Atp6v0e2
ENSMUSG00000042675|Ypel3
ENSMUSG00000084957|Bbip1
