ENSMUSG00000024165|Jpt2
ENSMUSG00000039221|Rpl22l1
ENSMUSG00000078521|Aunip
ENSMUSG00000060143|Gm10076
ENSMUSG00000023051|Tarbp2
ENSMUSG00000031388|Naa10
ENSMUSG00000048087|Gm4737
ENSMUSG00000030946|Lhpp
ENSMUSG00000049751|Rpl36al
ENSMUSG00000001642|Akr1b3
