ENSMUSG00000025785|Exosc7
ENSMUSG00000024007|Ppil1
ENSMUSG00000004865|Srpk1
ENSMUSG00000041632|Mrps27
ENSMUSG00000024387|Csnk2b
ENSMUSG00000004929|Thop1
ENSMUSG00000007603|Dus3l
ENSMUSG00000040771|Oard1
ENSMUSG00000022913|Psmg1
ENSMUSG00000031386|Hcfc1
