ENSMUSG00000060036|Rpl3
ENSMUSG00000024498|Tcerg1
ENSMUSG00000060038|Dhps
ENSMUSG00000030603|Psmc4
ENSMUSG00000028898|Trnau1ap
ENSMUSG00000024829|Mrpl21
ENSMUSG00000032294|Pkm
ENSMUSG00000032263|Bckdhb
ENSMUSG00000029229|Chic2
ENSMUSG00000030512|Snrpa1
