ENSMUSG00000018293|Pfn1
ENSMUSG00000002058|Unc119
ENSMUSG00000024048|Myl12a
ENSMUSG00000034341|Wbp2
ENSMUSG00000034187|Nsf
ENSMUSG00000041997|Tlk1
ENSMUSG00000030890|Ilk
ENSMUSG00000042198|Chchd7
ENSMUSG00000046516|Cox17
ENSMUSG00000021973|Micu2
